code,name,标题公告,时间,文本
002906,华阳集团,002906华阳集团投资者关系管理档案20210105.doc,2021/2/5 22:20,http://static.cninfo.com.cn/finalpage/2021-01-05/1209049968.doc
002920,德赛西威,2021年1月5日投资者关系活动记录表.docx,2021/2/5 18:16,http://static.cninfo.com.cn/finalpage/2021-01-05/1209048971.docx
